,E (hartree),,,,,,,,,,H*,-0.501035723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH4,-40.429,,,,,,,,,,CH3*,-39.769214,99.8418756834,,OH*,-75.676995,111.5580963310,,,,,,,,,,,MetOH,-115.5858060000,-87.5983738730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2O,-76.356,,,zero-point E(M6CH4),Eads (M6-CH4)kcal/mol,,,zero point E(M6H2O),Eads (M6-H2O)kcal/mol,,,zero point E(M6CH3*),Eform (M6-CH3*)kcal/mol,,,zero point E(M6HO*),Eform (M6-HO*)kcal/mol,,,zero point E(ts),Eform (ts)kcal/mol,,,zero point E(M6MetOH1),Eform (M6MetOH1)kcal/mol,n,,zero point E(M6MetOH2),Eform (M6CH3+OH),Eform (M6CH3+OH)kcal/mol,n,Eform (M6MetOH2),Eform (M6OH+CH3)kcal/mol,,Edis (M6+MetOH)kcal/mol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au6_M1a,-812.748,,Au6-CH4_M1_cara5,-853.179721000,-1.488451348,,Au6-H2O_M1_esquina3,-889.115886,-7.583446,,Au6-CH3_M2_cara5,-852.553413,78.6094811594,,Au6-HO_radical_M2_esquina3,-888.463052,95.2547848935,,Au6-HO+CH3_M1(1)_ts,-928.259503,42.46290652,,Au6-HO+CH3_M1(1)_opt,-928.347038,-72.02046295,0,Au6-OHCH3_M1c,-928.347039,-0.1166310000,-73.1870021790,0,-0.1147730000,-72.0210904570,,8.309474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au5Fe_M4ab,-1940.814,,Au5Fe-CH4_borde4_M4,-1981.244695000,-1.113200966,,Au5Fe-H2O_cara1_M4,-2017.189941,-12.906605,,Au5Fe-CH3_borde4_M5,-1980.645326,61.7050162085,,Au5Fe-HO_cara1_M5,-2016.61091,48.9427381665,,Au5Fe-HO+CH3_M4_ts,-2056.360323,12.42530571,,Au5Fe-HO+CH3_M4_opt,-2056.422154,-26.37420327,1,Au5Fe-HOCH3_M4c,-2056.42244,-0.1001190000,-62.8255735708,1,-0.0423160000,-26.5536708437,,14.477260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au4Fe2_M9ag,-3068.882,,Au4Fe2-CH4_atop3C_M9,-3109.312644000,-0.845254623,,Au4Fe2-H2O_atop3O_M9,-3145.259522,-13.662753,,Au4Fe2-CH3_atop3C_M8,-3108.701511,69.0870320843,,Au4Fe2-HO_atop3O_M8,-3144.67949,49.5708746753,,Au4Fe2-HO+CH3_M9_ts,-3184.4268,13.74495714,,Au4Fe2-HO+CH3_M9_opt,-3184.49864,-31.33528942,2,Au4Fe2-HOCH3_M9b,-3184.49864,-0.1201340000,-75.3851662059,2,-0.0499360000,-31.3352894239,,19.386891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au3Fe3_M12c,-4196.910,,Au3Fe3-CH4_atop5H_M12,-4237.342653000,-1.907627360,,Au3Fe3-H2O_bridge5-2_M12,-4273.289090,-14.448395,,Au3Fe3-CH3_atop5H_M11,-4236.767799,46.3216330730,,Au3Fe3-HO_bridge5-2_M11,-4272.741307,29.3343369343,,Au3Fe3-HO+CH3_M12_qst2,-4312.475061,22.25146914,,Au3Fe3-HO+CH3_M12_opt_1,-4312.519455,-5.606165406,3,Au3Fe3-CH3OH_M12a,-4312.520505,-0.0757110000,-47.5093338993,3,-0.0099840000,-6.2650498562,,15.338830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au2Fe4_M15aa,-5324.932,,Au2Fe4-CH4_M15_bridge3-6,-5365.365700000,-2.589102134,,Au2Fe4-H2O_M15_fourfold1,-5401.303741,-9.861304,,Au2Fe4-CH3_M16_bridge3-6,-5364.777183,54.8952885404,,Au2Fe4-HO_M14_fourfold1,-5400.740604,38.9691101204,,Au2Fe4-HO+CH3_M15_ts,-5440.488887,13.13439088,,Au2Fe4-HO+CH3_M15_opt,-5440.53457,-15.53210277,4,Au2Fe4-HOCH3_M15c,-5440.534486,-0.0803080000,-50.3939927718,4,-0.0246680000,-15.4793920120,,10.331308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AuFe5_M18bb,-6452.938,,AuFe5-CH4_atopC1_M18,-6493.370081000,-1.689881737,,AuFe5-H2O_atopO1_M18,-6529.315431,-13.548547,,AuFe5-CH3_atopC1_M17,-6492.781829,54.7289986557,,AuFe5-HO_atopO1_M19,-6528.752516,38.8298031226,,AuFe5-HO+CH3_M18_ts,-6568.496104,16.08054563,,AuFe5-HO+CH3_M18_opt,-6568.546928,-15.81197178,5,AuFe5-HOCH3_M18,-6568.546933,-0.0881090000,-55.2891904812,5,-0.0252030000,-15.8151093271,,14.493575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe6_M21,-7580.955,,Fe6-CH4_atop2C_M21,-7621.384880000,-0.625626472,,Fe6-H2O_bridge1_M21,-7657.329268,-11.880628,,Fe6-CH3_atop2C_M22,-7620.79462,55.9890367273,,Fe6-HO_bridge1_M22,-7656.769226,37.0269697654,,Fe6-HO+CH3_M21_ts,-7696.50202,22.85387778,,Fe6-HO+CH3_M21_opt,-7696.559852,-13.43622271,6,Fe6-HOCH3_M21b,-7696.560319,-0.0887040000,-55.6625583364,6,-0.0218790000,-13.7292694109,,12.542650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,H2O2,-151.426846,,,,,Edis (M6 + CH3*) kcal/mol,,,,Edis (M6 + OH*) kcal/mol,,,zero point E(ts),Eform (ts)kcal/mol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,zero point E(M6H2O2),Eads (M6-H2O2)kcal/mol,,,Au6-CH3_M2_cara5,22.7208458720,,,Au6-HO_radical_M2_esquina3,23.8867575940,,Au6-CH3+OH_M1(1)_ts,-928.280216,-31.25496827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Au6-H2O2_M1,-964.184789,-6.244970,,,Au5Fe-CH3_borde4_M5,39.2500604411,,,Au5Fe-HO_cara1_M5,75.5219631681,,Au5Fe-CH3+HO_M4_ts,-2056.324389,-1.297688612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Au5Fe-H2O2_M4,-2092.263091,-14.233159,,,Au4Fe2-CH3_atop3C_M8,31.6000982223,,,Au4Fe2-HO_atop3O_M8,75.6499750042,,Au4Fe2-CH3+HO_M9_ts,-3184.380541,-1.276980815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Au4Fe2-H2O2_M9,-3220.329906,-13.253618,,,Au3Fe3-CH3_atop5H_M11,55.4278699703,,,Au3Fe3-HO_bridge5-2_M11,96.6721540134,,Au3Fe3-CH3+HO_M12_qst2,-4312.449691,-3.072911573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Au3Fe3-H2O2_M12,-4348.359214,-13.876107,,,Au2Fe4-CH3_M16_bridge3-6,47.5356892770,,,Au2Fe4-HO_M14_fourfold1,82.4502900368,,Au2Fe4-CH3+HO_M15_ts,-5440.444468,6.09311239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Au2Fe4-H2O2_M15,-5476.375915,-10.575409,,,AuFe5-CH3_atopC1_M17,46.8027587646,,,AuFe5-HO_atopO1_M19,86.2768399187,,AuFe5-CH3+HO_M18_ts,-6568.461667,-1.784008087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AuFe5-H2O2_M18,-6604.387324,-14.086322,,,Fe6-CH3_atop2C_M22,44.4784654288,,,Fe6-HO_bridge1_M22,86.4117543543,,Fe6-CH3+HO_M21_ts,-7696.478679,-4.432723576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Fe6-H2O2_M21,-7732.401288,-12.498097,,,,,,,Edis (M6 + CH3*) kcal/mol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts,zero point E(M6H2O2),Edis (M6-HO+HO)kcal/mol,,,,,OH*,-75.676995,45.7177957040,,,zero point E(M6CH3*),E (M6CH3+OH)kcal/mol,,,zero point E(M6HO*),E (M6OH+CH3)kcal/mol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO-Au6-HO_M,,,,opt,zero point E(M6H2O2)_c,Edis (M6-HO+HO)kcal/mol,,zero point E(M6HO*),Eform (M6-HO*)kcal/mol,,Au6-CH3_M2_cara5,-852.553413,,,Au6-HO_radical_M2_esquina3,-888.463052,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO-Au5Fe-HO_M,,,,HO-Au6-HO_M,,,Au6-HO_radical_M2_esquina3,-888.463052,28.0760076780,,Au5Fe-CH3_borde4_M5,-1980.645326,,,Au5Fe-HO_cara1_M5,-2016.61091,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO-Au4Fe2-HO_M,,,,HO-Au5Fe-HO_M,,,Au5Fe-HO_cara1_M5,-2016.61091,-15.5710083262,,Au4Fe2-CH3_atop3C_M8,-3108.701511,,,Au4Fe2-HO_atop3O_M8,-3144.67949,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO-Au3Fe3-HO_M,,,,HO-Au4Fe2-HO_M,,,Au4Fe2-HO_atop3O_M8,-3144.67949,-16.6785617109,,Au3Fe3-CH3_atop5H_M11,-4236.767799,0.0000000000,,Au3Fe3-HO_bridge5-2_M11,-4272.741307,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO-Au2Fe4-HO_M,,,,HO-Au3Fe3-HO_M12, -4348.556158,-123.584132,Au3Fe3-HO_bridge5-2_M11,-4272.741307,-37.0782517920,,Au2Fe4-CH3_M16_bridge3-6,-5364.777183,,,Au2Fe4-HO_M14_fourfold1,-5400.740604,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO-AuFe5-HO_M,,,,HO-Au2Fe4-HO_M,,,Au2Fe4-HO_M14_fourfold1,-5400.740604,-26.1570851559,,AuFe5-CH3_atopC1_M17,-6492.781829,,,AuFe5-HO_atopO1_M19,-6528.752516,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO-Fe6-HO_M,,,,HO-AuFe5-HO_M,,,AuFe5-HO_atopO1_M19,-6528.752516,-26.4727221824,,Fe6-CH3_atop2C_M22,-7620.79462,,,Fe6-HO_bridge1_M22,-7656.769226,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,HO-Fe6-HO_M,,,Fe6-HO_bridge1_M22,-7656.769226,-28.1958618971,,,,,,,,,,,,,,Alternativos (puro opt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,zero point E(M6CH3*),E (M6CH3+OH)kcal/mol,,,zero point E(M6HO*),E (M6OH+CH3)kcal/mol,,,zero point E(ts),Eform (ts)kcal/mol,,zero point E(ts),Eform (ts)kcal/mol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Au6-CH3_M2_cara5,-852.553413,-928.33,,Au6-HO_radical_M2_esquina3,-888.463052,-928.327172,,Au6-HO+CH3_M1(2)_ts,-928.32,6.27509,,Au6-HO+CH3_M1(1)_ts,-928.3237622,2.139680188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,zero point E(M6HO*),Eform (M6-HO*)kcal/mol,,,,,Au5Fe-CH3_borde4_M5,-1980.645326,,,Au5Fe-HO_cara1_M5,-2016.61091,-2056.463527,,Au5Fe-CH3+HO_M4_ts,,,,Au5Fe-HO+CH3_M4_ts,-2056.455845,4.8205241380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
