H*,-0.501035723,,,H*,formation ,kcal/mol,,specie,,specie,any,any,specie,,specie,any,,,,,,,,,,,,,,,
,zero,Gibbs,,,zero,Gibbs,0,,1.090,,9.594,9.012,#ĄVALOR!,1.426,,-6.2,,,,,,,,,,,,,,,
CH3*,-39.769214,-39.787962,,CH3*,99.84,98.94,1,,,,9.84,10.035,,,,21.802,,,,,,,,,,,,,,,
CH4,-40.429358,-40.446672,,CH4,,,2,,,,8.53,8.419,,,,21.246,,,,,,,,,,,,,,,
OH*,-75.676995,-75.693918,,OH*,46.35,39.07,3,,,,7.146,7.482,,,,31.148,,,,,,,,,,,,,,,
H2O2,-151.427854,-151.450102,,H2O2,,,4,,,,6.618,6.739,,,,21.113,,,,,,,,,,,,,,,
CH3OH,-115.585806,-115.608557,,CH3OH,-87.60,-79.49,5,,,,6.734,6.916,,,,25.112,,,,,,,,,,,,,,,
H2O,-76.35581,-76.373444,,H2O,-111.56,-112.00,6,,,,6.472,6.632,,,,30.91,,,,,,,,,,,,,,,
,,,,,,,7,,,promedio MC-H,7.557,7.704,,,promedio MC-H,20.733,,,,,,,,,,,,,,,
Au6,-812.747991,-812.797626,,Au6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au5Fe,-1940.813563,-1940.864383,,Au5Fe,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au4Fe2,-3068.879398,-3068.929364,,Au4Fe2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au3Fe3,-4196.910255,-4196.95805,,Au3Fe3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au2Fe4,-5324.932216,-5324.976893,,Au2Fe4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AuFe5,-6452.93803,-6452.981086,,AuFe5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe6,-7580.954525,-7580.99568,,Fe6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au6CH3*,-852.553413,-852.612,,Au6CH3*,78.61,80.68,,,,,,,,,,,,,,,,,,,,,,,,,
Au5FeCH3*,-1980.645326,-1980.700575,,Au5FeCH3*,61.71,65.70,,,,,,,,,,,,,,,,,,,,,,,,,
Au4Fe2CH3*,-3108.701511,-3108.755483,,Au4Fe2CH3*,69.09,71.48,,,,,,,,,,,,,,,,,,,,,,,,,
Au3Fe3CH3*,-4236.767799,-4236.818416,,Au3Fe3CH3*,46.32,49.31,,,,,,,,,,,,,,,,,,,,,,,,,
Au2Fe4CH3*,-5364.777183,-5364.827205,,Au2Fe4CH3*,54.90,56.27,,,,,,,,,,,,,,,,,,,,,,,,,
AuFe5CH3*,-6492.781829,-6492.827619,,AuFe5CH3*,54.73,58.80,,,,,,,,,,,,,,,,,,,,,,,,,
Fe6CH3*,-7620.79462,-7620.842557,,Fe6CH3*,55.99,58.92,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au6CH4,-853.179721,-853.241605,,Au6CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au5FeCH4,-1981.244695,-1981.306317,,Au5FeCH4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au4Fe2CH4,-3109.312644,-3109.370426,,Au4Fe2CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au3Fe3CH4,-4237.342653,-4237.39804,,Au3Fe3CH4,,,,,G reacción,,,M-M distances,Au- Au,,,Fe-Fe,,,,Au-Fe,,,,,,,,,,,
Au2Fe4CH4,-5365.3657,-5365.41791,,Au2Fe4CH4,,,,1,-191.896774,0.000,,2.725,,,,2.724,,,,2.724,,,,,,,,,,,
AuFe5CH4,-6493.370081,-6493.422355,,AuFe5CH4,,,,2,-191.175798,452.419,,2.725,,2.61,,2.723,,2.61,,2.714,,2.648,,,,,,,,,
Fe6CH4,-7621.38488,-7621.437481,,Fe6CH4,,,,3,-191.982001,-53.481,,3.081,2.584,2.574,,3.018,2.601,2.562,,2.967,2.634,2.561,,,,,,,,,
,,,,,,,,,,,,,2.482,2.615,,,2.483,2.621,,,2.502,2.622,,,,,,,,,
Au6OH*,-888.463052,-888.517453,,Au6OH*,28.08,31.10,,,,,,,2.483,2.65,,,2.489,2.657,,,2.491,2.669,,,,,,,,,
Au5FeOH*,-2016.61091,-2016.666051,,Au5FeOH*,-15.57,-15.21,,,,,,,2.458,2.689,,,2.459,2.697,,,2.461,2.709,,,,,,,,,
Au4Fe2OH*,-3144.67949,-3144.732688,,Au4Fe2OH*,-16.68,-15.38,,,,,,,2.466,,,,2.474,,,,2.479,,,,,,,,,,
Au3Fe3OH*,-4272.741307,-4272.791169,,Au3Fe3OH*,-37.08,-34.46,,,,,,,,,,M-M dif dist,,,,,,,,,,,,,,,
Au2Fe4OH*,-5400.740604,-5400.788362,,Au2Fe4OH*,-26.16,-24.31,,,,,,,,,0,0.001,0,0,,-0.001,0,0,,,,,,,,,
AuFe5OH*,-6528.752516,-6528.800665,,AuFe5OH*,-26.47,-26.04,,Fe0,G reacción,,,,,,1,0.002,0,0,,-0.011,0,0.038,,,,,,,,,
Fe6OH*,-7656.769226,-7656.815044,,Fe6OH*,-28.20,-27.34,,1,-1817.492026,0.000,,,,,2,0.063,-0.017,0.012,,-0.114,0.05,-0.013,,,,,,,,,
,,,,,,,,2,-1817.485608,4.027,,,,,3,0,-0.001,-0.006,,0,0.02,0.007,,,,,,,,,
Au6H2O2,-964.184789,-964.244003,,Au6H2O2,,,,3,-1817.324407,105.183,101.155,,,,4,0,-0.006,-0.007,,0,0.008,0.019,,,,,,,,,
Au5FeH2O2,-2092.263091,-2092.318804,,Au5FeH2O2,,,,4,-1817.476485,9.752,,,,,5,0,-0.001,-0.008,,0,0.003,0.02,,,,,,,,,
Au4Fe2H2O2,-3220.329906,-3220.385179,,Au4Fe2H2O2,,,,5,-1817.486366,3.552,-6.200,,,,6,0,-0.008,0,,0,0.013,0,,,,,,,,,
Au3Fe3H2O2,-4348.359214,-4348.413254,,Au3Fe3H2O2,,,,6,-1817.576453,-52.979,,,,,,,,,,,,,,,,,,,,,
Au2Fe4H2O2,-5476.375915,-5476.426619,,Au2Fe4H2O2,,,,7,-1817.57646,-52.983,,,,,,,,,,,,,,,,,,,,,
AuFe5H2O2,-6604.387324,-6604.436157,,AuFe5H2O2,,,,8,-1817.577253,-53.481,,,,M6-CH4,M6-CH3,,M6-H2O2,M6-OH,,,,,,,,,H3C-H,,,HO-OH,M6-OH
Fe6H2O2,-7732.401288,-7732.448474,,Fe6H2O2,,,,,,,,,0,3.065,2.063,0,2.501,1.986,,,,,,,,0,1.092,,0,1.425,
ts,,,,ts,,,,Fe1,G reacción,,,,1,3.188,2.055,1,2.146,1.794,,,,,,,,1,1.091,,1,1.424,
Au6CH3OH,-928.259503,-928.315296,,Au6CH3OH,-17.09,-17.97,,1,-4073.62554,0.000,,,2,3.153,1.996,2,2.156,1.797,,,,,,,,2,1.092,,2,1.426,
Au5FeCH3OH,-2056.360323,-2056.41927,,Au5FeCH3OH,12.43,10.04,,2,-4073.625121,0.263,,,3,2.651,2.165,3,2.155,1.956,,,,,,,,3,1.094,,3,1.426,
Au4Fe2CH3OH,-3184.4268,-3184.486793,,Au4Fe2CH3OH,13.75,9.48,,3,-4073.56158,40.136,39.873,,4,2.508,2.02,4,2.211,1.804,,,,,,,,4,1.095,,4,1.426,
Au3Fe3CH3OH,-4312.475061,-4312.529493,,Au3Fe3CH3OH,22.26,19.39,,4,-4073.69184,-41.604,,,5,2.657,2.148,5,2.185,1.811,,,,,,,,5,1.094,,5,1.430,
Au2Fe4CH3OH,-5440.488887,-5440.542678,,Au2Fe4CH3OH,13.14,9.35,,5,-4073.657097,-19.802,21.802,,6,3.014,2.028,6,2.219,1.813,,,,,,,,6,1.092,,6,1.430,
AuFe5CH3OH,-6568.496104,-6568.548608,,AuFe5CH3OH,16.08,13.35,,6,-4073.717483,-57.695,,,,,,,,,,,,,,,,,,,,,
Fe6CH3OH,-7696.50202,-7696.553748,,Fe6CH3OH,22.86,19.15,,7,-4073.717382,-57.632,,,,,,,,,,,,,,,,,,,,,
a,,,,a,,,,8,-4073.710767,-53.481,,,,,,,,,,,,,,,,,,,,,
Au6CH3OH,-928.347038,-928.405383,,Au6CH3OH,-72.03,-74.51,,,,,,,,,,,,,,,,,,,,,,,,,
Au5FeCH3OH,-2056.422154,-2056.479656,,Au5FeCH3OH,-26.38,-27.86,,Fe2,G reacción,,,,,,,,,,,,,,,,,,,,,,
Au4Fe2CH3OH,-3184.49864,-3184.557112,,Au4Fe2CH3OH,-31.34,-34.65,,1,-6329.755502,0.000,,,,,,,,,,,,,,,,,,,,,
Au3Fe3CH3OH,-4312.519455,-4312.576427,,Au3Fe3CH3OH,-5.61,-10.07,,2,-6329.755605,-0.065,,,,,,,,,,,,,,,,,,,,,
Au2Fe4CH3OH,-5440.53457,-5440.587104,,Au2Fe4CH3OH,-15.53,-18.53,,3,-6329.683125,45.417,45.482,,,,,,,,,,,,,,,,,,,,
AuFe5CH3OH,-6568.546928,-6568.599245,,AuFe5CH3OH,-15.81,-18.43,,4,-6329.823458,-42.643,,,,,,,,,,,,,,,,,,,,,
Fe6CH3OH,-7696.559852,-7696.609791,,Fe6CH3OH,-13.44,-16.02,,5,-6329.789601,-21.397,21.246,,,,,,,,,,,,,,,,,,,,
b,,,,b,,,,6,-6329.85992,-65.523,,,,,,,,,,,,,,,,,,,,,
Au6CH3OH,-928.347039,-928.40539,,Au6CH3OH,-72.03,-74.51,,7,-6329.85992,-65.523,,,,,,,,,,,,,,,,,,,,,
Au5FeCH3OH,-2056.42244,-2056.479555,,Au5FeCH3OH,-26.56,-27.80,,8,-6329.840729,-53.481,,,,,,,,,,,,,,,,,,,,,
Au4Fe2CH3OH,-3184.49864,-3184.557112,,Au4Fe2CH3OH,-31.34,-34.65,,,,,,,,,,,,,,,,,,,,,,,,,
Au3Fe3CH3OH,-4312.520505,-4312.57674,,Au3Fe3CH3OH,-6.27,-10.27,,Fe3,G reacción,,,,,,,,,,,,,,,,,,,,,,
Au2Fe4CH3OH,-5440.534486,-5440.586743,,Au2Fe4CH3OH,-15.48,-18.31,,1,-8585.812874,0.000,,,,,,,,,,,,,,,,,,,,,
AuFe5CH3OH,-6568.546933,-6568.599337,,AuFe5CH3OH,-15.82,-18.49,,2,-8585.811294,0.991,,,,,,,,,,,,,,,,,,,,,
Fe6CH3OH,-7696.560319,-7696.610233,,Fe6CH3OH,-13.73,-16.30,,3,-8585.804539,5.230,4.239,,,,,,,,,,,,,,,,,,,,
,,,,dissociation,,,,4,-8585.910625,-61.340,,,,,,,,,,,,,,,,,,,,,
,,,,Au6CH3OH,0.36,0.60,,5,-8585.860987,-30.191,31.148,,,,,,,,,,,,,,,,,,,,
,,,,Au5FeCH3OH,0.63,0.80,,6,-8585.907921,-59.643,,,,,,,,,,,,,,,,,,,,,
,,,,Au4Fe2CH3OH,0.91,1.14,,7,-8585.908234,-59.839,,,,,,,,,,,,,,,,,,,,,
,,,,Au3Fe3CH3OH,0.67,0.89,,8,-8585.898101,-53.481,,,,,,,,,,,,,,,,,,,,,
,,,,Au2Fe4CH3OH,0.45,0.65,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AuFe5CH3OH,0.63,0.88,,Fe4,G reacción,,,,,,,,,,,,,,,,,,,,,,
,,,,Fe6CH3OH,0.54,0.78,,1,-10841.85056,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,-10841.84453,3.785,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,-10841.81052,25.125,21.340,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,-10841.92666,-47.754,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,-10841.89302,-26.641,21.113,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,-10841.93744,-54.519,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7,-10841.93708,-54.292,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8,-10841.93579,-53.481,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fe5,G reacción,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,-13097.85895,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,-13097.85851,0.272,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,-13097.82324,22.407,22.135,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,-13097.94316,-52.843,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,-13097.90314,-27.731,25.112,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,-13097.95378,-59.506,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7,-13097.95387,-59.564,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8,-13097.94417,-53.481,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fe6,G reacción,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,-15353.88813,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,-15353.88596,1.367,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,-15353.85255,22.326,20.959,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,-15353.97213,-52.708,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,-15353.92287,-21.798,30.910,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,-15353.97892,-56.966,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7,-15353.97936,-57.243,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8,-15353.97336,-53.481,,,,,,,,,,,,,,,,,,,,,
